Variant, Log2 DBSize, EntrySize(Bytes), NumQueries, Offline Time (s), Online Time (ms),  Amortized Compute Time Per Query (ms)
One server, 20, 32, 1024, 3.054, 0.107422, 0.181982
One server, 20, 32, 1024, 2.496, 0.0878906, 0.148828
One server, 20, 32, 1024, 2.446, 0.0888672, 0.148584
One server, 20, 32, 1024, 2.54, 0.0966797, 0.158691
One server, 20, 32, 1024, 2.583, 0.137695, 0.200757
One server, 20, 32, 1024, 2.522, 0.0917969, 0.153369
One server, 20, 32, 1024, 2.532, 0.144531, 0.206348
One server, 20, 32, 1024, 2.457, 0.132812, 0.192798
One server, 20, 32, 1024, 2.497, 0.0966797, 0.157642
One server, 10, 32, 32, 0.002, 0, 0.0015625
One server, 10, 32, 32, 0.002, 0, 0.0015625
One server, 10, 32, 32, 0.002, 0, 0.0015625
One server, 10, 32, 32, 0.002, 0, 0.0015625
One server, 10, 32, 32, 0.002, 0.0625, 0.0640625
One server, 10, 32, 32, 0.003, 0, 0.00234375
One server, 10, 32, 32, 0.002, 0, 0.0015625
One server, 10, 32, 32, 0.003, 0.03125, 0.0335937
One server, 10, 32, 32, 0.002, 0.0625, 0.0640625
One server, 10, 32, 32, 0.002, 0.25, 0.251563
One server, 10, 32, 32, 0.004, 0.28125, 0.284375
One server, 10, 32, 32, 0.003, 0, 0.00234375
One server, 10, 32, 32, 0.004, 0, 0.003125
